Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,31,3,88.8,64.6,24.21,,4.06,,19.07,9.19,28.26,125.80,86.42,39.38
2,Duke,ACC,,29,5,83.5,67.6,15.94,,12.25,,18.28,9.91,28.19,121.98,83.08,38.90
3,Virginia,ACC,,29,3,71.8,55.1,16.78,,9.67,,5.12,21.32,26.45,124.98,83.91,41.07
4,North Carolina,ACC,,27,6,86.1,72.9,13.12,,12.03,,20.48,4.67,25.15,120.85,87.04,33.81
5,Michigan State,Big Ten,,29,6,78.7,65.5,13.23,,11.87,,14.16,10.94,25.10,123.12,86.57,36.55
6,Michigan,Big Ten,,29,6,70.5,58.5,12.03,,10.48,,4.69,17.82,22.51,116.02,82.29,33.73
7,Tennessee,SEC,,29,5,81.8,68.6,13.15,,10.31,,14.70,7.79,22.49,123.56,91.41,32.15
8,Kentucky,SEC,,28,6,76.8,64.8,12.00,,10.02,,9.15,12.87,22.02,120.25,87.53,32.73
9,Texas Tech,Big 12,,26,6,73.1,59.3,13.81,,7.69,,5.39,16.11,21.50,114.79,82.66,32.13
10,Purdue,Big Ten,,24,9,75.7,66.2,9.48,,11.59,,10.95,10.12,21.08,121.98,90.74,31.24
11,Auburn,SEC,,27,9,79.5,68.4,11.17,,10.05,,12.51,7.57,20.08,120.20,91.77,28.43
12,Virginia Tech,ACC,,24,8,74.0,62.1,11.91,,7.79,,6.85,12.85,19.69,120.35,90.55,29.80
13,Wisconsin,Big Ten,,23,10,69.1,61.4,7.64,,11.30,,3.15,15.78,18.93,113.11,84.95,28.16
14,Kansas,Big 12,,26,9,75.7,69.6,6.11,,12.62,,10.84,7.90,18.74,115.40,88.60,26.81
15,Iowa State,Big 12,,23,11,77.4,68.3,9.12,,9.16,,10.93,7.35,18.28,120.05,93.26,26.79
16,Houston,AAC,,31,3,75.6,61.2,14.38,,3.79,,6.11,12.06,18.17,115.43,88.77,26.66
17,Florida State,ACC,,28,7,74.9,67.2,7.77,,10.29,,8.99,9.06,18.06,113.82,87.88,25.94
18,Louisville,ACC,,20,14,74.6,68.4,6.24,,11.59,,8.62,9.20,17.82,115.77,90.05,25.71
19,Louisiana State,SEC,,27,6,81.3,73.1,8.24,,8.74,,14.53,2.45,16.98,118.56,94.03,24.54
20,Mississippi State,SEC,,23,10,77.3,70.1,7.21,,9.49,,10.09,6.61,16.71,117.89,93.51,24.38
21,Maryland,Big Ten,,23,10,71.6,65.4,6.15,,10.28,,6.03,10.40,16.44,114.90,90.95,23.95
22,Nevada,MWC,,29,5,80.1,66.8,13.32,,2.91,,9.53,6.71,16.23,114.76,91.90,22.85
23,North Carolina State,ACC,,23,11,79.7,70.5,9.24,,6.74,,12.68,3.30,15.97,114.54,92.70,21.85
24,Florida,SEC,,20,15,68.3,63.6,4.74,,11.20,,1.05,14.90,15.94,112.27,88.75,23.52
25,Kansas State,Big 12,,25,8,65.8,59.2,6.58,,9.26,,-1.50,17.34,15.84,108.92,85.21,23.72
26,Buffalo,MAC (East),,31,3,84.9,70.5,14.41,,1.97,,14.61,1.18,15.79,114.67,93.21,21.46
27,Nebraska,Big Ten,,19,16,71.8,66.7,5.17,,11.55,,6.75,8.91,15.67,114.70,92.55,22.15
28,Texas,Big 12,,17,16,71.0,67.2,3.82,,11.67,,4.84,10.65,15.49,115.31,92.41,22.90
29,Marquette,Big East,,24,10,77.3,69.5,7.82,,7.42,,8.77,6.48,15.25,113.40,91.76,21.64
30,Villanova,Big East,,26,9,74.1,66.8,7.29,,7.92,,5.43,9.78,15.21,117.80,95.42,22.38
31,Oklahoma,Big 12,,19,13,71.2,68.2,2.94,,11.88,,6.49,8.33,14.82,110.36,89.63,20.73
32,Clemson,ACC,,20,13,69.2,64.0,5.24,,9.48,,2.48,12.24,14.72,110.10,88.33,21.77
33,Indiana,Big Ten,,18,15,72.1,67.9,4.15,,10.49,,5.81,8.84,14.64,111.38,90.55,20.83
34,Cincinnati,AAC,,28,6,71.7,62.2,9.50,,5.08,,2.55,12.03,14.58,113.36,91.61,21.75
35,Iowa,Big Ten,,22,11,78.3,73.6,4.67,,9.69,,12.51,1.85,14.35,119.32,98.52,20.80
36,Ohio State,Big Ten,,19,14,69.6,66.2,3.42,,10.86,,3.19,11.10,14.29,111.02,90.44,20.58
37,Wofford,Southern,,30,4,83.0,65.7,17.35,,0.43,,8.23,5.94,14.17,118.95,97.40,21.55
38,Syracuse,ACC,,20,14,69.7,66.1,3.65,,10.51,,3.55,10.60,14.16,111.80,90.69,21.11
39,Texas Christian,Big 12,,21,13,74.3,70.2,4.15,,9.21,,8.24,5.11,13.36,112.54,93.68,18.86
40,Baylor,Big 12,,20,13,71.8,67.2,4.61,,8.63,,5.10,8.13,13.24,114.59,94.88,19.71
41,Mississippi,SEC,,20,12,75.4,70.4,5.03,,8.16,,7.86,5.34,13.20,113.24,93.92,19.32
42,Minnesota,Big Ten,,22,13,71.2,69.4,1.86,,11.22,,6.18,6.90,13.08,112.29,93.40,18.88
43,Penn State,Big Ten,,14,18,69.7,68.6,1.03,,11.93,,4.84,8.12,12.96,110.07,90.67,19.40
44,Saint Mary's (CA),WCC,,22,12,72.4,64.3,8.18,,4.63,,2.26,10.55,12.81,115.36,95.48,19.88
45,Oregon,Pac-12,,23,12,70.5,62.9,7.54,,5.26,,0.19,12.61,12.80,109.12,89.75,19.37
46,Utah State,MWC,,28,6,79.2,66.8,12.38,,0.73,,7.10,5.57,12.67,111.86,93.58,18.28
47,Virginia Commonwealth,A-10,,25,7,71.4,61.6,9.84,,2.66,,1.32,11.19,12.50,104.22,85.73,18.49
48,Central Florida,AAC,,23,8,72.1,64.3,7.84,,4.58,,2.27,10.15,12.41,110.53,92.18,18.34
49,Creighton,Big East,,19,14,78.5,73.4,5.06,,8.76,,9.68,2.73,12.41,114.83,96.95,17.87
50,Arkansas,SEC,,18,15,75.7,72.6,3.15,,8.92,,8.68,3.39,12.07,111.03,93.88,17.15
51,Washington,Pac-12,,26,8,69.8,64.4,5.44,,6.37,,1.19,10.62,11.81,107.94,90.56,17.38
52,Memphis,AAC,,22,13,80.4,74.3,6.11,,4.70,,11.72,-0.91,10.81,110.17,94.91,15.25
53,Seton Hall,Big East,,20,14,73.8,71.9,1.91,,8.80,,6.03,4.68,10.71,109.90,94.04,15.85
54,Arizona State,Pac-12,,23,10,77.7,72.8,4.88,,5.78,,8.24,2.41,10.65,109.49,94.10,15.39
55,Northwestern,Big Ten,,13,19,65.9,65.1,0.81,,9.55,,-0.42,10.79,10.37,104.95,89.74,15.22
56,New Mexico State,WAC,,30,5,78.1,64.5,13.57,,-2.11,,4.06,6.26,10.32,113.26,97.69,15.57
57,Colorado,Pac-12,,22,12,74.0,67.7,6.35,,3.64,,3.54,6.46,9.99,108.20,93.93,14.28
58,Dayton,A-10,,21,12,72.9,66.2,6.76,,3.13,,3.18,6.71,9.89,112.18,97.24,14.94
59,Miami (FL),ACC,,14,18,71.8,71.1,0.69,,9.17,,4.32,5.54,9.86,111.00,96.93,14.07
60,Xavier,Big East,,19,15,72.1,70.4,1.65,,8.21,,3.31,6.54,9.86,112.49,98.02,14.47
61,Murray State,OVC,,28,4,83.3,67.7,15.63,,-3.63,,6.45,3.33,9.78,112.04,97.53,14.52
62,Alabama,SEC,,18,16,72.0,71.6,0.44,,9.24,,4.70,4.98,9.68,108.81,94.97,13.84
63,Butler,Big East,,16,17,71.9,70.8,1.12,,8.56,,4.26,5.42,9.68,112.65,98.46,14.19
64,Illinois,Big Ten,,12,21,72.7,75.2,-2.58,,11.94,,8.04,1.33,9.36,110.72,97.25,13.47
65,Belmont,OVC,,27,6,86.9,73.9,13.00,,-2.43,,11.47,-2.18,9.29,114.91,101.39,13.52
66,Rutgers,Big Ten,,14,17,67.9,68.8,-0.87,,10.16,,2.03,7.26,9.29,106.35,92.80,13.55
67,Fresno State,MWC,,23,9,76.5,67.6,8.94,,0.91,,4.22,5.01,9.23,110.00,96.49,13.51
68,Missouri,SEC,,15,17,67.2,67.8,-0.56,,9.42,,-0.24,9.11,8.86,107.81,94.54,13.27
69,Lipscomb,A-Sun,,26,7,83.6,69.4,14.21,,-2.65,,9.45,-0.68,8.77,110.18,97.40,12.79
70,San Francisco,WCC,,21,10,76.1,67.8,8.29,,1.26,,4.41,4.29,8.70,112.06,98.81,13.26
71,South Carolina,SEC,,16,16,72.7,72.4,0.34,,9.96,,5.79,2.88,8.67,107.22,94.40,12.82
72,Providence,Big East,,18,16,71.4,69.8,1.59,,7.06,,2.50,6.15,8.65,106.17,93.44,12.73
73,Notre Dame,ACC,,14,19,68.7,69.0,-0.30,,8.72,,1.61,6.80,8.42,110.03,97.92,12.11
74,Arizona,Pac-12,,17,15,70.9,68.9,2.00,,6.34,,1.34,7.00,8.34,106.48,94.50,11.98
75,Pittsburgh,ACC,,14,19,69.9,68.7,1.18,,7.16,,1.68,6.66,8.34,105.81,93.93,11.88
76,St. John's (NY),Big East,,21,13,77.1,74.8,2.38,,5.95,,8.01,0.33,8.33,109.96,98.11,11.85
77,Toledo,MAC (West),,25,8,76.9,68.4,8.52,,0.82,,3.93,4.39,8.32,108.94,96.31,12.62
78,Southern California,Pac-12,,16,17,76.3,73.0,3.27,,4.91,,7.42,0.76,8.18,110.16,98.24,11.91
79,Oklahoma State,Big 12,,12,20,68.1,71.5,-3.44,,11.54,,2.58,5.52,8.10,109.60,98.45,11.15
80,Temple,AAC,,23,10,74.7,71.5,3.24,,4.80,,5.45,2.59,8.05,109.29,97.42,11.87
81,Oregon State,Pac-12,,18,13,73.4,69.8,3.55,,4.33,,4.01,3.88,7.88,111.96,100.43,11.53
82,Furman,Southern,,25,8,77.6,66.1,11.52,,-1.23,,2.27,5.47,7.74,107.28,95.67,11.61
83,West Virginia,Big 12,,15,20,73.3,76.5,-3.23,,10.86,,7.71,-0.08,7.63,109.88,98.39,11.49
84,Texas A&M,SEC,,14,18,70.4,71.8,-1.38,,8.85,,2.43,5.04,7.47,107.44,96.48,10.96
85,Georgia Tech,ACC,,14,18,65.3,66.6,-1.22,,8.60,,-1.52,8.90,7.38,102.51,92.08,10.43
86,UCLA,Pac-12,,17,16,78.2,77.8,0.39,,6.85,,9.52,-2.27,7.24,109.89,99.20,10.68
87,Georgetown,Big East,,19,14,79.5,78.1,1.48,,5.61,,10.31,-3.22,7.10,109.21,99.31,9.89
88,DePaul,Big East,,16,15,77.6,75.5,2.16,,4.79,,7.41,-0.46,6.95,111.40,101.62,9.78
89,Wichita State,AAC,,20,14,70.9,69.2,1.65,,5.27,,2.01,4.90,6.91,106.58,95.97,10.61
90,Connecticut,AAC,,16,17,73.8,71.3,2.48,,4.15,,5.13,1.51,6.64,108.56,98.90,9.67
91,Davidson,A-10,,24,10,70.9,65.6,5.29,,2.14,,-0.11,6.67,6.56,108.36,98.25,10.11
92,Boston College,ACC,,14,17,70.8,72.8,-1.94,,8.27,,3.72,2.62,6.33,108.75,99.50,9.25
93,Brigham Young,WCC,,19,13,79.0,76.1,2.84,,3.46,,9.51,-3.21,6.30,111.09,101.49,9.60
94,San Diego,WCC,,21,15,72.0,68.2,3.78,,3.74,,1.50,4.76,6.26,106.47,96.97,9.50
95,Utah,Pac-12,,17,14,75.6,74.5,1.03,,5.15,,6.52,-0.34,6.18,114.57,105.86,8.71
96,Stanford,Pac-12,,15,16,72.7,71.8,0.90,,5.26,,2.65,3.51,6.16,103.84,95.29,8.56
97,South Dakota State,Summit,,24,9,84.5,73.5,11.03,,-4.66,,9.33,-3.34,6.00,111.93,103.50,8.42
98,Yale,Ivy,,22,8,80.9,73.4,7.50,,-1.00,,8.07,-2.31,5.76,109.98,101.75,8.23
99,UC-Irvine,Big West,,30,5,72.9,63.3,9.57,,-3.15,,-0.54,6.24,5.71,105.15,95.65,9.51
100,Southern Methodist,AAC,,15,17,72.0,70.3,1.69,,3.90,,2.65,2.93,5.59,111.93,103.23,8.70
101,Georgia,SEC,,11,21,71.1,73.9,-2.81,,8.39,,2.88,2.70,5.58,106.01,98.24,7.78
102,San Diego State,MWC,,21,13,71.7,67.4,4.29,,2.73,,-0.59,6.13,5.54,104.87,97.28,7.59
103,East Tennessee State,Southern,,24,10,79.6,69.7,9.88,,-1.53,,2.82,2.66,5.48,108.55,100.02,8.53
104,Saint Louis,A-10,,23,12,67.1,63.7,3.31,,1.94,,-2.91,8.17,5.26,102.13,93.71,8.42
105,South Florida,AAC,,20,13,72.5,67.4,5.18,,1.06,,0.00,5.13,5.13,102.06,94.30,7.77
106,Vermont,AEC,,27,7,73.8,63.0,10.74,,-3.99,,-0.26,5.34,5.07,107.91,99.20,8.71
107,Akron,MAC (East),,17,16,68.8,63.8,4.97,,1.23,,-4.41,9.42,5.01,99.42,92.11,7.31
108,Hofstra,CAA,,27,8,83.4,72.9,10.46,,-4.34,,8.74,-3.87,4.87,115.65,107.73,7.92
109,Liberty,A-Sun,,28,6,74.0,60.8,13.24,,-5.18,,-3.81,8.53,4.72,108.36,99.23,9.14
110,North Carolina-Greensboro,Southern,,29,6,76.3,67.3,8.91,,-0.95,,0.46,4.23,4.69,105.31,98.04,7.28
111,Northern Kentucky,Horizon,,26,8,79.1,68.8,10.35,,-3.18,,3.64,0.93,4.57,108.25,101.26,6.99
112,Tulsa,AAC,,18,14,71.8,71.0,0.78,,3.74,,2.40,2.12,4.52,105.48,98.44,7.04
113,Bowling Green State,MAC (East),,22,12,78.5,73.4,5.06,,1.00,,5.06,-0.69,4.37,106.72,100.29,6.44
114,Loyola (IL),MVC,,20,14,65.6,60.8,4.85,,0.14,,-5.29,9.58,4.29,104.77,97.84,6.93
115,Northeastern,CAA,,23,11,75.4,70.8,4.65,,-0.51,,2.84,1.31,4.14,110.10,103.52,6.58
116,Grand Canyon,WAC,,20,14,75.3,69.2,6.09,,-1.20,,2.08,2.05,4.13,105.93,99.66,6.27
117,Georgia Southern,Sun Belt,,21,12,82.6,75.4,7.18,,0.33,,8.37,-4.43,3.94,107.86,101.73,6.13
118,Vanderbilt,SEC,,9,23,68.1,72.3,-4.22,,8.09,,0.21,3.65,3.87,103.46,98.55,4.91
119,Old Dominion,CUSA,,26,9,65.7,60.8,4.91,,-1.07,,-5.75,9.60,3.85,100.47,93.83,6.65
120,Boise State,MWC,,13,20,71.6,68.6,3.06,,1.23,,0.79,2.98,3.77,107.87,101.69,6.18
121,Ball State,MAC (West),,16,17,75.1,71.6,3.52,,1.36,,2.96,0.58,3.55,103.69,98.20,5.49
122,St. Bonaventure,A-10,,18,16,66.2,63.1,3.09,,0.47,,-4.23,7.78,3.55,101.60,95.32,6.28
123,Utah Valley,WAC,,25,9,77.6,70.8,6.82,,-2.29,,3.41,0.04,3.46,107.66,102.19,5.46
124,Drake,MVC,,24,9,75.5,69.9,5.55,,-0.14,,4.26,-0.88,3.38,106.02,100.77,5.25
125,Wright State,Horizon,,21,14,73.2,67.6,5.60,,-0.80,,-1.00,4.38,3.38,106.16,100.70,5.46
126,Western Kentucky,CUSA,,20,14,71.4,69.3,2.18,,1.06,,1.01,2.22,3.24,104.01,98.53,5.48
127,Rhode Island,A-10,,18,15,69.5,67.8,1.64,,1.45,,0.24,2.84,3.08,103.26,99.05,4.21
128,Georgia State,Sun Belt,,24,9,77.1,72.9,4.12,,0.29,,3.99,-0.95,3.04,106.56,101.51,5.06
129,Central Michigan,MAC (West),,23,12,82.7,76.9,5.89,,-0.19,,8.20,-5.27,2.94,108.92,104.47,4.45
130,Loyola Marymount,WCC,,21,11,67.2,62.7,4.50,,0.93,,-6.50,9.30,2.80,102.69,98.28,4.41
131,Northern Illinois,MAC (West),,17,17,73.7,71.0,2.74,,1.23,,1.50,1.19,2.69,108.54,104.27,4.27
132,Southern Mississippi,CUSA,,20,13,72.5,65.5,7.03,,-0.81,,-2.13,4.74,2.60,105.43,100.76,4.67
133,College of Charleston,CAA,,24,9,74.3,68.6,5.70,,-2.77,,-0.50,3.05,2.54,107.54,102.72,4.82
134,Pennsylvania,Ivy,,19,12,72.6,68.3,4.29,,-0.54,,-0.58,2.84,2.27,102.30,98.63,3.67
135,Texas State,Sun Belt,,24,9,72.4,64.2,8.24,,-2.74,,-4.73,6.86,2.13,101.24,97.22,4.02
136,Jacksonville State,OVC,,24,9,78.0,69.2,8.82,,-5.23,,-0.03,1.87,1.84,102.72,99.14,3.58
137,Nevada-Las Vegas,MWC,,17,14,73.4,72.3,1.10,,0.67,,2.09,-0.32,1.77,105.75,102.37,3.39
138,Harvard,Ivy,,19,11,71.5,69.9,1.63,,0.45,,-0.46,2.19,1.72,103.31,100.23,3.08
139,Wake Forest,ACC,,11,20,68.4,75.6,-7.26,,8.96,,1.02,0.68,1.70,104.91,102.08,2.83
140,Southern Illinois,MVC,,17,15,68.6,67.0,1.56,,0.13,,-2.48,4.17,1.69,103.19,100.35,2.84
141,Montana,Big Sky,,26,9,76.1,68.5,7.66,,-5.05,,0.43,1.07,1.50,105.75,103.05,2.70
142,Radford,Big South,,22,11,73.9,68.1,5.85,,-1.83,,-1.10,2.51,1.41,107.30,104.47,2.83
143,Kent State,MAC (East),,22,11,75.2,73.2,1.94,,0.75,,3.13,-1.73,1.39,108.17,105.86,2.31
144,Louisiana-Monroe,Sun Belt,,19,15,78.6,74.4,4.18,,-1.72,,3.67,-2.36,1.31,111.51,108.64,2.86
145,George Mason,A-10,,18,15,70.1,69.4,0.76,,0.29,,0.33,0.72,1.05,103.78,101.43,2.35
146,Louisiana Tech,CUSA,,20,13,72.3,67.7,4.58,,-2.23,,-1.79,2.82,1.03,103.46,101.24,2.23
147,Pepperdine,WCC,,16,18,75.6,74.4,1.26,,0.72,,4.79,-3.79,0.99,106.16,104.13,2.03
148,Colgate,Patriot,,24,10,75.8,70.0,5.79,,-4.46,,1.79,-0.82,0.97,107.32,105.40,1.91
149,Samford,Southern,,17,16,78.3,75.4,2.91,,-1.75,,4.04,-3.07,0.97,104.83,102.78,2.06
150,Miami (OH),MAC (East),,15,17,70.8,69.8,1.06,,2.44,,-1.49,2.40,0.91,104.23,102.56,1.68
151,Austin Peay,OVC,,22,11,82.2,73.1,9.06,,-4.22,,4.32,-3.54,0.79,108.30,106.15,2.15
152,Texas-San Antonio,CUSA,,17,15,77.5,75.2,2.31,,0.13,,5.49,-4.71,0.78,104.23,102.27,1.96
153,Duquesne,A-10,,19,13,73.5,72.3,1.16,,-0.42,,2.72,-1.99,0.74,104.35,102.73,1.63
154,Bucknell,Patriot,,21,12,76.8,73.3,3.52,,-2.82,,3.63,-2.93,0.70,104.38,103.42,0.96
155,Eastern Michigan,MAC (West),,15,17,68.8,69.2,-0.31,,4.61,,-5.50,6.07,0.57,102.61,101.64,0.97
156,Alabama-Birmingham,CUSA,,20,15,70.6,67.7,2.86,,-1.44,,-1.49,1.92,0.44,105.54,103.99,1.55
157,Bradley,MVC,,20,15,66.5,65.3,1.26,,-0.62,,-4.48,4.69,0.20,101.80,100.89,0.91
158,Colorado State,MWC,,12,20,74.8,75.2,-0.41,,1.64,,2.22,-2.10,0.12,108.43,107.54,0.88
159,Brown,Ivy,,20,11,73.9,68.5,5.45,,-3.30,,-0.98,1.06,0.08,97.30,97.19,0.11
160,North Texas,CUSA,,21,12,69.8,62.9,6.82,,-3.40,,-6.33,6.16,-0.17,98.55,97.68,0.87
161,Saint Joseph's,A-10,,14,19,70.5,72.6,-2.09,,1.88,,1.73,-1.95,-0.22,105.20,105.05,0.15
162,Texas-Arlington,Sun Belt,,17,16,69.2,69.8,-0.58,,1.05,,-3.62,3.33,-0.29,99.27,98.75,0.52
163,New Mexico,MWC,,14,18,76.3,76.7,-0.34,,1.86,,4.86,-5.16,-0.30,103.39,103.03,0.36
164,Missouri State,MVC,,16,16,68.9,67.4,1.53,,-0.75,,-3.06,2.15,-0.91,103.04,103.10,-0.05
165,Richmond,A-10,,13,20,70.1,70.7,-0.58,,-0.60,,-0.23,-0.94,-1.17,107.97,108.97,-1.00
166,Hawaii,Big West,,18,13,72.3,68.7,3.55,,-3.49,,-2.01,0.82,-1.18,103.68,105.07,-1.39
167,Coastal Carolina,Sun Belt,,16,16,76.4,73.0,3.38,,-2.30,,1.64,-2.84,-1.20,103.65,104.91,-1.26
168,Northern Iowa,MVC,,16,18,65.1,65.6,-0.44,,0.93,,-6.09,4.87,-1.22,100.73,101.61,-0.88
169,Seattle,WAC,,18,15,73.3,69.2,4.15,,-3.63,,-2.52,1.27,-1.24,100.78,101.99,-1.22
170,Florida Atlantic,CUSA,,17,16,70.4,68.0,2.39,,-1.65,,-4.04,2.72,-1.32,98.66,99.44,-0.78
171,Marshall,CUSA,,20,14,80.1,81.3,-1.18,,-0.22,,8.86,-10.25,-1.39,105.84,106.89,-1.06
172,Texas-Rio Grande Valley,WAC,,20,16,70.8,70.3,0.56,,-1.32,,-1.72,0.22,-1.49,97.56,98.86,-1.30
173,UC-Santa Barbara,Big West,,22,10,73.4,66.1,7.38,,-5.49,,-3.27,1.72,-1.55,103.81,105.13,-1.32
174,Washington State,Pac-12,,11,21,74.8,78.7,-3.88,,2.19,,4.08,-5.77,-1.68,106.00,108.24,-2.24
175,Abilene Christian,Southland,,27,7,73.6,63.6,10.03,,-7.22,,-4.11,2.32,-1.78,101.23,102.68,-1.44
176,Illinois State,MVC,,17,16,68.4,70.1,-1.73,,0.53,,-2.26,0.48,-1.78,101.25,103.24,-1.99
177,Ohio,MAC (East),,14,17,70.1,73.8,-3.68,,3.22,,-2.03,0.25,-1.78,97.44,99.67,-2.23
178,Santa Clara,WCC,,16,15,68.2,70.1,-1.84,,1.03,,-3.14,1.33,-1.81,100.72,102.37,-1.65
179,Louisiana,Sun Belt,,19,13,81.6,80.5,1.16,,-1.32,,5.96,-7.85,-1.89,105.08,107.03,-1.95
180,Stony Brook,AEC,,24,9,71.6,66.3,5.33,,-6.29,,-2.57,0.66,-1.91,97.04,99.65,-2.61
181,Charleston Southern,Big South,,18,15,76.0,69.6,6.39,,-4.07,,-1.21,-0.83,-2.03,100.27,102.11,-1.84
182,Lehigh,Patriot,,20,11,80.0,77.8,2.13,,-4.30,,6.25,-8.42,-2.17,106.14,108.94,-2.79
