Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
183,Oakland,Horizon,,16,17,76.8,76.2,0.58,,-1.42,,2.44,-4.64,-2.20,107.58,110.10,-2.52
184,Omaha,Summit,,21,11,78.8,76.7,2.16,,-3.31,,3.60,-5.84,-2.24,108.13,110.58,-2.45
185,Pacific,WCC,,14,18,66.8,70.0,-3.22,,2.12,,-5.30,2.99,-2.31,99.82,103.56,-3.74
186,Indiana State,MVC,,15,16,69.2,71.5,-2.32,,0.84,,-1.00,-1.50,-2.50,100.82,103.65,-2.83
187,Mercer,Southern,,11,20,72.5,72.5,0.06,,0.07,,-2.54,-0.02,-2.55,101.96,104.45,-2.50
188,IUPUI,Horizon,,16,17,76.0,73.6,2.36,,-2.99,,-0.76,-1.90,-2.66,101.29,104.20,-2.91
189,Winthrop,Big South,,18,12,83.3,78.6,4.70,,-3.61,,6.09,-8.84,-2.75,105.01,107.90,-2.88
190,Green Bay,Horizon,,18,16,81.0,80.2,0.82,,0.16,,6.13,-8.90,-2.77,103.07,105.74,-2.67
191,Massachusetts,A-10,,11,21,70.7,73.6,-2.84,,0.02,,-0.13,-2.70,-2.82,103.41,107.29,-3.88
192,Gardner-Webb,Big South,,23,11,78.3,70.5,7.79,,-5.21,,1.18,-4.04,-2.86,104.08,107.46,-3.38
193,Presbyterian,Big South,,19,15,78.6,72.3,6.38,,-5.24,,2.16,-5.17,-3.01,107.02,110.25,-3.23
194,Sam Houston State,Southland,,21,12,75.0,69.9,5.12,,-5.67,,-0.94,-2.07,-3.01,102.53,106.20,-3.68
195,Illinois-Chicago,Horizon,,16,16,74.7,74.5,0.19,,-1.89,,0.01,-3.06,-3.06,99.38,102.54,-3.16
196,Valparaiso,MVC,,15,18,66.8,66.3,0.55,,-0.69,,-6.25,3.17,-3.08,97.88,101.94,-4.06
197,University of California,Pac-12,,8,23,68.4,77.0,-8.58,,5.48,,-1.37,-1.74,-3.11,103.58,107.62,-4.04
198,Princeton,Ivy,,16,12,69.6,69.7,-0.11,,-0.63,,-5.18,2.01,-3.17,96.81,100.51,-3.70
199,Cal State Fullerton,Big West,,16,18,71.7,71.0,0.68,,-1.02,,-1.24,-1.94,-3.18,97.37,101.41,-4.04
200,NJIT,A-Sun,,22,12,70.6,68.2,2.44,,-4.76,,-3.91,0.66,-3.25,99.85,103.80,-3.94
201,Purdue-Fort Wayne,Summit,,18,15,82.7,77.5,5.21,,-3.47,,5.51,-8.85,-3.34,105.10,109.30,-4.20
202,La Salle,A-10,,10,21,67.5,72.4,-4.90,,1.54,,-2.17,-1.20,-3.37,98.91,102.63,-3.72
203,North Florida,A-Sun,,16,17,75.3,76.7,-1.39,,-0.64,,2.51,-5.92,-3.41,101.40,104.91,-3.51
204,Campbell,Big South,,20,13,75.6,70.5,5.06,,-4.33,,-1.04,-2.53,-3.57,106.64,110.50,-3.86
205,Evansville,MVC,,11,21,69.8,72.4,-2.59,,0.39,,-1.29,-2.29,-3.58,98.88,103.41,-4.53
206,Appalachian State,Sun Belt,,11,21,79.9,79.3,0.56,,0.20,,4.75,-8.38,-3.63,104.88,109.27,-4.40
207,California Baptist,WAC,,16,15,77.5,72.3,5.23,,-3.87,,1.82,-5.47,-3.65,103.72,107.58,-3.86
208,Hartford,AEC,,18,15,75.1,72.9,2.12,,-4.62,,0.93,-4.61,-3.68,105.46,109.75,-4.29
209,Hampton,Big South,,16,16,81.7,76.6,5.06,,-5.26,,5.54,-9.45,-3.91,104.04,108.74,-4.70
210,Florida International,CUSA,,19,13,82.6,79.8,2.75,,-1.51,,7.15,-11.13,-3.98,100.88,105.03,-4.15
211,Northern Colorado,Big Sky,,21,11,76.6,69.7,6.91,,-6.83,,-3.05,-0.95,-4.00,100.83,105.27,-4.43
212,Air Force,MWC,,14,18,68.1,71.7,-3.59,,0.50,,-3.25,-0.77,-4.01,100.39,105.93,-5.54
213,American,Patriot,,15,15,72.0,69.0,3.03,,-7.08,,-3.17,-0.88,-4.04,99.76,104.89,-5.13
214,North Dakota State,Summit,,19,15,73.4,72.2,1.12,,-2.82,,-1.82,-2.28,-4.10,105.15,110.18,-5.03
215,South Alabama,Sun Belt,,17,17,72.9,72.5,0.38,,-2.57,,-2.84,-1.48,-4.32,101.26,106.31,-5.05
216,Weber State,Big Sky,,18,15,79.3,74.4,4.94,,-6.09,,1.09,-5.43,-4.34,99.77,106.02,-6.25
217,Cal State Bakersfield,WAC,,17,15,71.2,70.8,0.38,,-2.20,,-4.28,-0.16,-4.44,100.10,106.08,-5.98
218,Long Beach State,Big West,,15,19,74.9,76.0,-1.15,,-0.33,,1.18,-5.63,-4.46,99.01,104.33,-5.32
219,William & Mary,CAA,,14,17,74.9,76.9,-2.06,,-1.92,,0.37,-4.99,-4.62,101.58,107.86,-6.28
220,Little Rock,Sun Belt,,10,21,74.2,75.9,-1.68,,-1.87,,-0.90,-3.76,-4.66,99.39,104.92,-5.53
221,Fordham,A-10,,12,20,65.9,66.9,-1.03,,-2.17,,-7.60,2.81,-4.79,96.40,102.57,-6.17
222,Rider,MAAC,,16,15,76.8,75.3,1.55,,-6.39,,2.78,-7.61,-4.84,99.08,105.86,-6.78
223,Columbia,Ivy,,10,18,73.5,73.3,0.25,,-1.92,,-0.57,-4.38,-4.96,99.63,106.14,-6.51
224,Florida Gulf Coast,A-Sun,,14,18,71.3,73.8,-2.50,,-1.38,,-2.52,-2.50,-5.02,99.34,105.60,-6.26
225,Iona,MAAC,,17,15,76.8,75.6,1.22,,-6.26,,2.93,-7.98,-5.04,103.70,110.02,-6.32
226,South Dakota,Summit,,13,17,70.6,71.2,-0.60,,-2.92,,-4.45,-0.94,-5.39,98.67,105.28,-6.61
227,Dartmouth,Ivy,,11,19,72.0,70.5,1.47,,-2.79,,-3.44,-2.10,-5.54,100.91,108.06,-7.15
228,High Point,Big South,,16,15,68.2,67.9,0.32,,-4.32,,-8.54,2.98,-5.56,97.80,104.89,-7.09
229,Maryland-Baltimore County,AEC,,21,13,67.5,64.0,3.50,,-5.65,,-7.93,2.28,-5.65,94.10,101.67,-7.56
230,East Carolina,AAC,,10,21,67.4,74.2,-6.81,,1.14,,-3.25,-2.41,-5.66,97.24,104.78,-7.55
231,Lamar,Southland,,20,13,78.7,70.4,8.33,,-7.11,,-1.12,-4.72,-5.83,99.94,107.12,-7.18
232,Fairleigh Dickinson,NEC,,21,14,74.9,71.9,3.00,,-7.02,,-0.59,-5.27,-5.86,103.26,110.73,-7.47
233,Middle Tennessee,CUSA,,11,21,66.9,72.3,-5.38,,1.62,,-5.48,-0.44,-5.91,96.28,103.66,-7.38
234,Cornell,Ivy,,15,16,69.3,71.3,-2.00,,-1.83,,-3.84,-2.10,-5.94,97.10,105.34,-8.24
235,Troy,Sun Belt,,12,18,72.6,74.7,-2.10,,-0.86,,-2.19,-3.77,-5.96,101.28,108.85,-7.58
236,Western Michigan,MAC (West),,8,24,70.2,76.2,-6.03,,1.65,,-2.06,-4.03,-6.09,97.85,105.89,-8.05
237,UC-Davis,Big West,,11,20,65.7,68.6,-2.90,,-1.38,,-7.61,1.47,-6.14,95.07,103.42,-8.34
238,Detroit Mercy,Horizon,,11,20,73.5,79.5,-5.97,,-0.30,,0.66,-6.93,-6.27,103.54,111.57,-8.02
239,Holy Cross,Patriot,,16,17,67.2,69.6,-2.42,,-3.88,,-7.37,1.07,-6.30,99.34,107.94,-8.61
240,Missouri-Kansas City,WAC,,11,21,69.4,73.2,-3.78,,-1.25,,-4.80,-1.51,-6.32,98.49,106.89,-8.40
241,Texas Southern,SWAC,,22,13,80.4,78.1,2.29,,-7.51,,5.38,-11.73,-6.36,100.97,108.82,-7.85
242,George Washington,A-10,,9,24,63.5,71.4,-7.85,,1.46,,-5.41,-0.98,-6.39,95.91,105.01,-9.09
243,Cal State Northridge,Big West,,13,21,76.5,79.4,-2.94,,-3.26,,3.47,-9.89,-6.42,103.22,111.69,-8.47
244,Boston University,Patriot,,15,18,72.3,72.3,-0.06,,-5.26,,-3.30,-3.18,-6.48,101.25,109.78,-8.52
245,Rice,CUSA,,13,19,74.0,77.5,-3.56,,-2.03,,2.17,-8.70,-6.53,102.24,110.49,-8.24
246,Quinnipiac,MAAC,,16,15,74.0,72.7,1.26,,-7.88,,-0.71,-5.91,-6.62,102.37,111.51,-9.14
247,Drexel,CAA,,13,19,75.8,77.3,-1.56,,-2.75,,0.91,-7.75,-6.84,103.77,112.48,-8.71
248,Eastern Washington,Big Sky,,16,18,72.4,74.3,-1.97,,-4.26,,-3.26,-3.60,-6.86,98.07,107.41,-9.34
249,Arkansas State,Sun Belt,,13,19,73.7,77.3,-3.63,,-1.01,,-0.45,-6.42,-6.88,100.22,109.33,-9.10
250,Tulane,AAC,,4,27,67.2,77.5,-10.35,,3.44,,-3.52,-3.40,-6.92,95.74,104.62,-8.87
251,Eastern Kentucky,OVC,,13,18,82.6,83.1,-0.48,,-2.22,,6.07,-13.22,-7.15,98.23,106.14,-7.92
252,Prairie View,SWAC,,22,13,75.1,72.8,2.29,,-9.16,,-0.78,-6.50,-7.28,98.61,107.83,-9.22
253,Army,Patriot,,13,19,70.9,72.0,-1.16,,-4.54,,-5.08,-2.31,-7.38,94.32,103.77,-9.45
254,Southeastern Louisiana,Southland,,17,16,67.4,67.5,-0.12,,-6.15,,-8.82,1.38,-7.45,96.40,105.88,-9.48
255,Chattanooga,Southern,,12,20,70.9,74.3,-3.38,,-0.44,,-4.59,-2.95,-7.55,99.41,108.99,-9.58
256,Morehead State,OVC,,13,20,73.7,77.1,-3.39,,-1.59,,-3.12,-4.44,-7.56,99.75,109.06,-9.31
257,Sacred Heart,NEC,,15,17,79.9,78.4,1.53,,-7.83,,2.91,-10.51,-7.61,101.10,111.10,-10.00
258,Youngstown State,Horizon,,12,20,75.5,78.9,-3.47,,-1.93,,-0.47,-7.20,-7.67,101.84,111.76,-9.92
259,Delaware,CAA,,17,16,71.3,72.1,-0.85,,-4.61,,-4.29,-3.42,-7.71,102.76,113.19,-10.43
260,Citadel,Southern,,12,18,85.1,86.1,-1.03,,0.25,,7.44,-15.15,-7.72,105.56,114.70,-9.14
261,Siena,MAAC,,17,16,64.6,66.0,-1.42,,-6.38,,-9.85,2.05,-7.80,99.92,110.95,-11.03
262,Cleveland State,Horizon,,10,21,74.2,78.6,-4.42,,-1.42,,-0.91,-6.95,-7.86,99.81,110.09,-10.28
263,North Carolina-Wilmington,CAA,,10,23,76.2,80.9,-4.70,,-1.81,,1.41,-9.28,-7.87,103.15,113.71,-10.56
264,Montana State,Big Sky,,15,17,78.2,79.8,-1.56,,-5.79,,2.32,-10.21,-7.89,104.40,115.00,-10.60
265,Norfolk State,MEAC,,22,13,74.1,69.3,4.71,,-9.15,,-3.76,-4.17,-7.93,95.96,106.25,-10.29
266,Massachusetts-Lowell,AEC,,15,17,76.8,75.6,1.13,,-6.72,,1.24,-9.30,-8.05,101.25,112.32,-11.06
267,Texas-El Paso,CUSA,,8,21,64.1,69.0,-4.90,,-1.59,,-9.13,1.01,-8.11,89.37,100.34,-10.98
268,Jacksonville,A-Sun,,12,20,74.5,75.1,-0.53,,-4.64,,-1.89,-6.28,-8.17,96.13,106.79,-10.66
269,Towson,CAA,,10,22,67.8,71.7,-3.88,,-3.37,,-7.20,-1.05,-8.24,98.00,109.70,-11.69
270,Charlotte,CUSA,,8,21,61.2,68.7,-7.45,,-0.81,,-10.34,2.08,-8.26,94.55,106.15,-11.60
271,James Madison,CAA,,14,19,70.4,73.0,-2.64,,-3.90,,-5.21,-3.15,-8.36,98.90,110.62,-11.72
272,Saint Francis (PA),NEC,,18,15,76.3,76.0,0.27,,-5.88,,-1.42,-6.97,-8.39,101.22,112.39,-11.17
273,Longwood,Big South,,16,17,70.2,70.0,0.21,,-6.98,,-6.38,-2.19,-8.58,95.64,107.21,-11.57
274,North Dakota,Summit,,12,18,74.0,73.2,0.80,,-3.40,,-4.45,-4.18,-8.63,95.01,106.33,-11.32
275,Canisius,MAAC,,15,17,70.3,74.3,-3.94,,-4.70,,-2.95,-5.69,-8.64,98.69,110.51,-11.82
276,Long Island University,NEC,,16,16,74.2,73.0,1.13,,-8.83,,-2.69,-6.05,-8.74,94.71,106.85,-12.14
277,New Orleans,Southland,,19,14,72.2,70.5,1.79,,-6.35,,-5.21,-3.56,-8.76,94.27,105.81,-11.54
278,Milwaukee,Horizon,,9,22,69.2,74.7,-5.45,,-2.38,,-6.30,-2.48,-8.78,97.29,109.09,-11.80
279,Sacramento State,Big Sky,,15,16,70.9,69.5,1.35,,-6.83,,-6.70,-2.13,-8.83,94.01,105.81,-11.81
280,Texas A&M-Corpus Christi,Southland,,14,18,66.4,66.4,0.06,,-5.47,,-10.90,2.01,-8.90,92.35,104.38,-12.03
281,Loyola (MD),Patriot,,11,21,72.9,77.4,-4.53,,-4.46,,-2.18,-6.82,-8.99,98.44,110.41,-11.97
282,Portland State,Big Sky,,16,16,77.3,75.1,2.22,,-5.84,,-1.43,-7.58,-9.01,98.04,109.92,-11.88
283,Western Carolina,Southern,,7,25,72.0,80.1,-8.09,,0.61,,-1.39,-7.62,-9.01,98.57,110.23,-11.66
284,Houston Baptist,Southland,,12,18,82.2,82.8,-0.63,,-5.31,,5.53,-14.66,-9.14,100.72,112.79,-12.07
285,Robert Morris,NEC,,18,16,69.9,68.4,1.53,,-7.55,,-8.68,-0.49,-9.17,92.61,104.79,-12.17
286,Albany (NY),AEC,,12,20,67.2,69.3,-2.06,,-6.52,,-6.95,-2.25,-9.19,95.33,108.23,-12.91
287,Oral Roberts,Summit,,11,21,72.3,77.6,-5.28,,-1.86,,-3.16,-6.13,-9.29,100.63,113.22,-12.59
288,Marist,MAAC,,12,19,67.3,69.3,-1.97,,-7.40,,-7.87,-1.50,-9.37,97.58,110.52,-12.94
289,Wyoming,MWC,,8,24,65.8,75.3,-9.56,,0.42,,-6.40,-3.12,-9.52,93.54,106.20,-12.66
290,Southern Utah,Big Sky,,16,16,75.8,75.7,0.09,,-6.55,,-3.22,-6.32,-9.55,94.13,106.84,-12.71
291,Grambling,SWAC,,17,17,71.4,68.7,2.65,,-9.32,,-6.25,-3.45,-9.71,91.72,104.43,-12.70
292,Western Illinois,Summit,,10,21,70.9,73.3,-2.39,,-5.04,,-6.92,-2.98,-9.90,94.56,108.03,-13.46
293,St. Francis (NY),NEC,,17,16,71.1,70.3,0.76,,-8.22,,-7.15,-2.81,-9.96,92.52,106.25,-13.73
294,Navy,Patriot,,12,19,66.5,72.6,-6.10,,-3.89,,-7.74,-2.25,-9.99,94.29,107.62,-13.33
295,Fairfield,MAAC,,9,22,66.8,69.9,-3.06,,-7.04,,-6.65,-3.46,-10.10,94.03,108.11,-14.08
296,VMI,Southern,,11,21,76.0,81.8,-5.75,,0.38,,1.30,-11.51,-10.21,100.33,113.17,-12.84
297,Monmouth,MAAC,,14,21,65.3,71.1,-5.83,,-4.70,,-9.20,-1.33,-10.53,90.17,104.55,-14.39
298,Portland,WCC,,7,25,64.9,74.7,-9.72,,0.64,,-7.53,-3.13,-10.66,93.79,108.61,-14.83
299,Tennessee-Martin,OVC,,12,19,76.0,80.2,-4.19,,-4.08,,-0.72,-9.97,-10.70,102.34,116.08,-13.74
300,Northern Arizona,Big Sky,,10,21,73.0,77.5,-4.52,,-6.24,,-2.90,-7.86,-10.76,97.99,112.63,-14.64
301,Stephen F. Austin,Southland,,14,16,70.2,72.0,-1.87,,-5.76,,-5.86,-4.97,-10.83,93.45,108.15,-14.70
302,North Alabama,A-Sun,,10,22,67.0,73.7,-6.66,,-1.59,,-7.50,-3.40,-10.90,92.53,106.53,-14.00
303,UC-Riverside,Big West,,10,23,65.2,69.1,-3.82,,-3.08,,-9.79,-1.22,-11.01,96.81,112.97,-16.16
304,Lafayette,Patriot,,10,20,73.6,78.3,-4.67,,-4.81,,-1.52,-9.53,-11.05,99.29,114.03,-14.74
305,North Carolina A&T,MEAC,,19,13,70.0,69.0,1.00,,-9.68,,-8.10,-2.95,-11.05,93.82,108.36,-14.54
306,Southeast Missouri State,OVC,,10,21,71.5,76.7,-5.23,,-4.14,,-5.07,-6.01,-11.07,95.19,109.81,-14.62
307,Central Arkansas,Southland,,14,19,72.2,75.7,-3.48,,-4.60,,-2.11,-9.06,-11.17,96.69,111.17,-14.49
308,Niagara,MAAC,,13,19,72.4,76.0,-3.56,,-7.64,,-1.42,-9.77,-11.20,98.84,114.46,-15.63
309,Elon,CAA,,11,21,70.8,76.4,-5.59,,-3.33,,-4.69,-6.61,-11.30,96.72,111.88,-15.16
310,North Carolina Central,MEAC,,18,16,71.4,66.6,4.79,,-11.10,,-9.15,-2.24,-11.39,94.98,110.07,-15.08
311,Tennessee State,OVC,,9,21,72.7,77.7,-5.00,,-2.93,,-4.45,-6.94,-11.39,96.54,110.61,-14.07
312,Eastern Illinois,OVC,,14,18,71.8,76.8,-4.94,,-4.79,,-4.60,-7.00,-11.59,97.71,113.01,-15.30
313,Nicholls State,Southland,,14,17,72.9,74.3,-1.35,,-6.80,,-4.50,-7.18,-11.68,95.87,111.52,-15.64
314,Denver,Summit,,8,22,69.5,77.3,-7.77,,-2.85,,-5.10,-6.61,-11.71,97.75,113.80,-16.06
315,Bethune-Cookman,MEAC,,14,17,73.9,72.4,1.45,,-9.55,,-4.85,-6.95,-11.79,91.01,106.37,-15.36
316,Saint Peter's,MAAC,,10,22,62.9,68.6,-5.75,,-6.28,,-11.76,-0.27,-12.03,91.93,108.71,-16.78
317,Howard,MEAC,,17,17,78.9,78.3,0.68,,-9.41,,-0.27,-11.91,-12.18,98.83,114.25,-15.43
318,Wagner,NEC,,13,17,65.8,68.1,-2.33,,-7.38,,-13.27,0.54,-12.73,90.17,107.98,-17.82
319,Manhattan,MAAC,,11,21,57.3,62.8,-5.56,,-7.23,,-17.50,4.71,-12.80,86.79,105.21,-18.42
320,Idaho State,Big Sky,,11,19,73.3,79.0,-5.70,,-4.85,,-3.51,-9.69,-13.21,100.32,118.46,-18.14
321,Florida A&M,MEAC,,12,19,62.2,66.4,-4.19,,-7.99,,-14.91,1.43,-13.47,86.65,105.09,-18.43
322,Binghamton,AEC,,10,23,65.2,72.0,-6.79,,-4.47,,-9.85,-3.84,-13.69,93.34,113.30,-19.96
323,Central Connecticut State,NEC,,11,20,71.1,76.4,-5.23,,-6.47,,-4.51,-9.28,-13.78,94.16,113.20,-19.04
324,Cal Poly,Big West,,6,23,66.6,75.3,-8.72,,-3.40,,-6.56,-7.24,-13.80,94.52,113.80,-19.28
325,SIU Edwardsville,OVC,,10,21,73.1,81.3,-8.23,,-4.80,,-3.38,-10.83,-14.21,94.27,113.16,-18.89
326,McNeese State,Southland,,9,22,69.3,74.3,-4.97,,-5.96,,-7.28,-6.94,-14.22,95.94,115.75,-19.82
327,Mount St. Mary's,NEC,,9,22,67.5,73.7,-6.26,,-5.76,,-9.38,-4.94,-14.31,91.76,111.00,-19.24
328,Tennessee Tech,OVC,,8,23,67.9,75.8,-7.94,,-2.69,,-11.73,-2.72,-14.45,87.02,105.78,-18.77
329,Arkansas-Pine Bluff,SWAC,,13,19,65.9,70.9,-5.03,,-8.21,,-9.28,-5.19,-14.47,91.24,110.79,-19.56
330,Jackson State,SWAC,,13,19,61.7,65.8,-4.16,,-9.31,,-14.98,0.41,-14.57,86.56,105.83,-19.27
331,Maine,AEC,,5,27,62.1,71.0,-8.84,,-3.97,,-11.55,-3.32,-14.87,90.72,112.78,-22.05
332,Bryant,NEC,,10,20,69.6,77.1,-7.53,,-7.41,,-5.89,-9.05,-14.94,95.94,115.96,-20.02
333,Stetson,A-Sun,,7,24,69.4,78.4,-8.97,,-3.44,,-5.22,-9.77,-15.00,94.67,113.86,-19.20
334,South Carolina Upstate,Big South,,6,26,67.8,74.8,-7.06,,-4.10,,-8.84,-6.29,-15.14,90.26,111.02,-20.77
335,Alabama State,SWAC,,12,19,67.3,72.1,-4.81,,-7.89,,-9.44,-6.21,-15.65,90.47,111.64,-21.17
336,Morgan State,MEAC,,9,21,72.0,76.8,-4.83,,-10.44,,-5.12,-10.68,-15.80,89.20,109.94,-20.74
337,Kennesaw State,A-Sun,,6,26,63.4,76.7,-13.28,,-0.97,,-10.46,-5.64,-16.10,88.34,109.71,-21.37
338,San Jose State,MWC,,4,27,65.9,81.7,-15.87,,0.81,,-6.62,-9.54,-16.16,91.51,113.32,-21.81
339,South Carolina State,MEAC,,8,26,70.2,76.3,-6.03,,-8.13,,-7.02,-9.68,-16.70,94.31,116.96,-22.65
340,Southern,SWAC,,7,25,64.9,73.8,-8.84,,-7.39,,-10.91,-5.89,-16.81,90.42,113.41,-22.99
341,Northwestern State,Southland,,11,20,66.2,73.5,-7.39,,-5.93,,-10.99,-6.01,-17.00,86.63,109.59,-22.96
342,New Hampshire,AEC,,5,24,60.1,68.6,-8.55,,-5.84,,-17.37,-1.10,-18.47,81.84,108.40,-26.56
343,Coppin State,MEAC,,8,25,64.2,76.0,-11.79,,-6.88,,-10.77,-7.90,-18.67,85.15,110.38,-25.23
344,Idaho,Big Sky,,5,27,67.9,76.9,-8.94,,-6.21,,-10.27,-8.50,-18.76,92.38,119.15,-26.77
345,Incarnate Word,Southland,,6,25,65.9,76.0,-10.03,,-4.99,,-9.25,-9.55,-18.81,93.89,120.41,-26.52
346,Alabama A&M,SWAC,,5,27,60.6,71.4,-10.84,,-8.45,,-15.21,-4.08,-19.29,84.66,111.73,-27.07
347,North Carolina-Asheville,Big South,,4,27,59.9,74.6,-14.71,,-2.24,,-16.12,-3.59,-19.70,88.55,117.19,-28.64
348,Savannah State,MEAC,,11,20,76.1,86.9,-10.77,,-8.89,,0.01,-20.37,-20.36,92.33,117.69,-25.36
349,Alcorn State,SWAC,,10,21,64.4,70.8,-6.42,,-9.04,,-15.57,-6.58,-22.15,84.45,114.92,-30.47
350,Mississippi Valley State,SWAC,,6,26,64.3,78.1,-13.75,,-6.98,,-11.05,-11.42,-22.46,86.01,116.44,-30.44
351,Maryland-Eastern Shore,MEAC,,7,25,57.3,71.6,-14.31,,-7.70,,-19.91,-4.09,-24.00,82.13,117.05,-34.93
352,Chicago State,WAC,,3,29,61.6,84.7,-23.13,,1.02,,-10.63,-13.85,-24.48,85.47,118.43,-32.96
353,Delaware State,MEAC,,6,25,63.1,76.5,-13.39,,-9.99,,-15.33,-11.35,-26.68,80.13,115.63,-35.50